Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
8058415,Principles of Philosophy,René Descartes,"Descartes, René","John Veitch, Paul Hoyt-O'Connor","=""1411429370""","=""9781411429376""",0,3.65,Barnes & Noble,ebook,112,2009,1644,,2017/02/26,"to-read, non-fiction","to-read (#155), non-fiction (#147)",to-read,,,,0,,,0,,,,,
144522,Meditations and Other Metaphysical Writings,René Descartes,"Descartes, René",Desmond M. Clarke,"=""0140447016""","=""9780140447019""",0,3.65,Penguin Classics,Paperback,256,1998,1976,,2017/02/26,"to-read, non-fiction","to-read (#154), non-fiction (#146)",to-read,,,,0,,,0,,,,,
18288,Critique of Pure Reason,Immanuel Kant,"Kant, Immanuel","Paul Guyer, Allen W. Wood","=""0521657296""","=""9780521657297""",0,3.90,Cambridge University Press,Paperback,796,1999,1781,,2017/02/26,"to-read, non-fiction","to-read (#153), non-fiction (#145)",to-read,,,,0,,,0,,,,,
2713151,Introduction to Logic,Immanuel Kant,"Kant, Immanuel",,"=""0806529741""","=""9780806529745""",0,3.69,Philosophical Library,Paperback,108,1963,1800,,2017/02/26,"to-read, non-fiction","to-read (#152), non-fiction (#144)",to-read,,,,0,,,0,,,,,
1031803,The Age of Reason,Thomas Paine,"Paine, Thomas",,"=""1595479104""","=""9781595479105""",0,4.12,NuVision Publications,Paperback,180,2007,1794,,2017/02/26,"to-read, non-fiction","to-read (#151), non-fiction (#143)",to-read,,,,0,,,0,,,,,
31785,The Will to Power,Friedrich Nietzsche,"Nietzsche, Friedrich","Walter Kaufmann, R.J. Hollingdale","=""0394704371""","=""9780394704371""",0,4.03,Vintage Books,Paperback,575,2011,1901,,2017/02/26,"to-read, non-fiction","to-read (#150), non-fiction (#142)",to-read,,,,0,,,0,,,,,
13588394,The Signal and the Noise: Why So Many Predictions Fail - But Some Don't,Nate Silver,"Silver, Nate",,"=""159420411X""","=""9781594204111""",0,3.96,Penguin,Hardcover,544,2012,2012,,2017/02/26,"to-read, non-fiction","to-read (#149), non-fiction (#141)",to-read,,,,0,,,0,,,,,
3209381,"The Lightness of Being: Mass, Ether, and the Unification of Forces",Frank Wilczek,"Wilczek, Frank",,"=""0465003214""","=""9780465003211""",0,3.98,Basic Books,Hardcover,292,2008,2008,,2017/02/26,"to-read, non-fiction","to-read (#148), non-fiction (#140)",to-read,,,,0,,,0,,,,,
2296,"Emergence: The Connected Lives of Ants, Brains, Cities, and Software",Steven Johnson,"Johnson, Steven",,"=""0684868768""","=""9780684868769""",0,3.96,Scribner,Paperback,288,2002,2001,,2017/02/26,"to-read, non-fiction","to-read (#147), non-fiction (#139)",to-read,,,,0,,,0,,,,,
8520362,The Grand Design,Stephen Hawking,"Hawking, Stephen",Leonard Mlodinow,"=""0553805371""","=""9780553805376""",0,4.00,Bantam,Hardcover,199,2010,2010,,2017/02/26,"to-read, non-fiction","to-read (#146), non-fiction (#138)",to-read,,,,0,,,0,,,,,
